Geography,"total pop, year 2005","age 0-19, year 2005","age 65+, year 2005","Per Capita Income, year 2000","Persons Living Below 200% Poverty, year 2000 ","% all Persons Living Below 200% Poverty Level, year 2000",% adequacy prenatal care (kotelchuck),"% C-section deliveries, 2005-2008","Number of infant deaths, 2005-2008","Infant mortality rate (deaths per 1000 live births), 2005-2008",% low birthweight 2005-2008,"% multiple births, 2005-2008","% publicly financed prenatal care, 2005-2008","% teen births, 2005-2008",,
Abington,"16,305","4,235","2,052","$23,380 ","1,828",12.69,91.06,17.22,5,5.73,8.16,6.77,23.03,2.29,,
Acton,"20,539","6,144","1,693","$41,901 ","1,375",6.81,82.59,15.93,3,3.91,6.78,5.21,10.22,0.65,,
Acushnet,"10,535","2,570","1,495","$21,753 ","1,687",16.63,86.76,12.47,1,NA,5.82,1.66,24.21,4.43,,
Adams,"8,456","1,890","1,733","$18,572 ","2,676",30.6,81.29,13.08,0,0,10.47,4.07,53.96,10.47,,
Agawam,"28,547","6,439","4,704","$22,562 ","4,317",15.81,83.24,11.53,2,1.8,5.22,5.31,28.81,3.87,,
Alford,400,78,63,"$40,412 ",50,12.79,55.56,0,0,0,0,0,NA,0,,
Amesbury,"16,617","4,553","2,003","$24,103 ","2,988",18.65,90.42,14.07,4,4.97,8.47,6.96,21.58,5.47,,
Amherst,"34,721","9,784","2,215","$17,427 ","8,246",36.78,84.62,10.47,0,0,5.37,2.54,31.49,4.8,,
Andover,"32,838","9,567","3,986","$41,133 ","2,787",9.01,87.86,18.9,5,4.35,7.23,6.79,7.05,0.87,,
Aquinnah,362,84,32,"$21,420 ",118,32.42,91.67,NA,0,0,NA,0,45.45,NA,,
Arlington,"41,273","7,955","7,032","$34,399 ","4,988",11.82,89.38,12.62,5,2.19,6.25,5.27,7.41,0.7,,
Ashburnham,"5,970","1,789",498,"$21,659 ","1,002",18.22,90.16,11.81,0,0,5.88,3.14,19.2,5.1,,
Ashby,"2,926",895,280,"$21,648 ",426,15.1,87.12,15.15,1,NA,7.58,6.06,21.09,8.33,,
Ashfield,"1,824",413,210,"$26,483 ",289,16.1,78,16,0,0,NA,11.76,19.61,NA,,
Ashland,"15,431","4,036","1,516","$31,641 ","1,479",10.11,88.74,16.93,2,1.96,7.24,4.89,14.09,1.56,,
Athol,"11,690","3,111","1,945","$16,845 ","3,496",31.79,82.99,8.99,1,1.83,7.34,2.75,44.94,10.28,,
Attleboro,"43,364","11,164","5,343","$22,660 ","7,757",18.79,82.22,14.43,6,2.56,7.38,4.99,22.61,5.16,,
Auburn,"16,393","3,789","2,831","$23,802 ","2,085",13.25,83.23,12.32,3,4.8,6.08,2.88,11.49,4.48,,
Avon,"4,345","1,071",737,"$24,410 ",901,20.28,87.96,21.35,1,NA,10.42,10.94,20.42,NA,,
Ayer,"7,212","1,952",896,"$26,400 ","1,450",20.51,78.38,14.63,3,NA,10.32,6.83,20.59,4.39,,
Barnstable,"47,902","10,465","9,525","$25,554 ","10,408",22.05,85.51,12.89,9,4.81,6.09,4.22,47.68,6.2,,
Barre,"5,375","1,544",653,"$20,476 ",923,18.08,75,13.82,2,NA,7.37,2.76,31.02,5.53,,
Becket,"1,783",418,228,"$21,861 ",357,20.55,75.76,10.29,0,0,NA,0,41.79,13.04,,
Bedford,"12,486","2,995","2,307","$39,212 ",722,5.99,87.65,19.68,4,7.91,7.39,2.96,8.22,1.38,,
Belchertown,"13,897","3,656","1,248","$21,938 ","2,200",17.01,87.32,13.54,1,1.57,8.03,4.72,21.24,2.52,,
Bellingham,"15,735","4,531","1,506","$25,047 ","1,438",9.41,88.27,16.04,3,3.5,7.12,5.37,12.96,3.03,,
Belmont,"23,453","5,487","3,959","$42,485 ","2,314",9.69,91.32,13.49,4,3.57,8.21,8.47,7.89,0.71,,
Berkley,"6,352","1,952",394,"$21,652 ",587,10.27,83.33,14.17,0,0,6.98,4.63,17.7,4.63,,
Berlin,"2,683",679,312,"$28,915 ",338,14.23,82,15,0,0,9,7,13,0,,
Bernardston,"2,237",490,346,"$20,959 ",407,18.9,88.52,19.35,0,0,NA,0,20.97,NA,,
Beverly,"39,833","9,530","6,202","$28,626 ","6,264",16.62,90.64,14.52,5,2.92,6.47,4.8,23.71,2.11,,
Billerica,"39,812","10,953","3,341","$24,953 ","4,178",11.09,83.77,16.96,6,3.3,7.59,5.12,12.63,2.59,,
Blackstone,"9,051","2,585",872,"$20,936 ","1,170",13.35,92.19,17.34,2,NA,8.29,3.02,30.88,9.05,,
Blandford,"1,266",309,114,"$24,285 ",195,16.1,76.67,30,1,NA,NA,0,26.67,NA,,
Bolton,"4,428","1,313",256,"$42,542 ",199,4.82,83,15.5,0,0,9,7,NA,NA,,
